,height
0,180.0
1,188.0
2,193.0
3,196.0
4,178.0
5,180.0
6,196.0
7,183.0
8,196.0
9,196.0
10,193.0
11,208.0
12,190.0
13,196.0
14,196.0
15,185.0
16,193.0
17,193.0
18,208.0
19,196.0
20,190.0
21,190.0
22,190.0
23,183.0
24,196.0
25,193.0
26,180.0
27,190.0
28,188.0
29,196.0
30,188.0
31,201.0
32,178.0
33,183.0
34,201.0
35,193.0
36,185.0
37,183.0
38,185.0
39,185.0
40,190.0
41,196.0
42,183.0
43,196.0
44,188.0
45,198.0
46,190.0
47,196.0
48,188.0
49,190.0
50,190.0
51,185.0
52,188.0
53,188.0
54,196.0
55,180.0
56,198.0
57,198.0
58,196.0
59,183.0
60,180.0
61,196.0
62,193.0
63,201.0
64,190.0
65,201.0
66,190.0
67,188.0
68,201.0
69,196.0
70,208.0
71,206.0
72,185.0
73,183.0
74,201.0
75,188.0
76,201.0
77,201.0
78,180.0
79,190.0
80,206.0
81,190.0
82,206.0
83,178.0
84,188.0
85,193.0
86,178.0
87,193.0
88,190.0
89,190.0
90,180.0
91,196.0
92,180.0
93,180.0
94,206.0
95,190.0
96,183.0
97,198.0
98,198.0
99,190.0
100,188.0
101,190.0
102,201.0
103,201.0
104,180.0
105,188.0
106,188.0
107,190.0
108,190.0
109,188.0
110,188.0
111,208.0
112,188.0
113,185.0
114,203.0
115,183.0
116,203.0
117,193.0
118,178.0
119,193.0
120,190.0
121,180.0
122,183.0
123,198.0
124,196.0
125,196.0
126,183.0
127,196.0
128,203.0
129,208.0
130,201.0
131,201.0
132,201.0
133,193.0
134,188.0
135,183.0
136,183.0
137,201.0
138,185.0
139,193.0
140,203.0
141,190.0
142,203.0
143,206.0
144,183.0
145,185.0
146,188.0
147,190.0
148,180.0
149,190.0
150,208.0
151,201.0
152,190.0
153,190.0
154,183.0
155,188.0
156,188.0
157,193.0
158,190.0
159,206.0
160,196.0
161,188.0
162,193.0
163,206.0
164,201.0
165,201.0
166,198.0
167,196.0
168,180.0
169,206.0
170,188.0
171,206.0
172,206.0
173,183.0
174,178.0
175,178.0
176,196.0
177,178.0
178,188.0
179,183.0
180,196.0
181,196.0
182,203.0
183,201.0
184,198.0
185,188.0
186,178.0
187,190.0
188,190.0
189,178.0
190,188.0
191,188.0
192,185.0
193,190.0
194,188.0
195,185.0
196,203.0
197,185.0
198,190.0
199,183.0
200,196.0
201,193.0
202,185.0
203,188.0
204,196.0
205,198.0
206,183.0
207,193.0
208,183.0
209,183.0
210,190.0
211,190.0
212,193.0
213,193.0
214,198.0
215,183.0
216,198.0
217,188.0
218,183.0
219,175.0
220,175.0
221,175.0
222,188.0
223,
224,193.0
225,190.0
226,188.0
227,203.0
228,196.0
229,185.0
230,196.0
231,198.0
232,196.0
233,185.0
234,198.0
235,188.0
236,203.0
237,206.0
238,193.0
239,185.0
240,201.0
241,196.0
242,196.0
243,196.0
244,198.0
245,196.0
246,188.0
247,188.0
248,188.0
249,201.0
250,193.0
251,196.0
252,206.0
253,196.0
254,185.0
255,198.0
256,201.0
257,190.0
258,196.0
259,198.0
260,185.0
261,183.0
262,203.0
263,203.0
264,198.0
265,203.0
266,185.0
267,183.0
268,196.0
269,188.0
270,188.0
271,175.0
272,196.0
273,193.0
274,190.0
275,193.0
276,185.0
277,188.0
278,190.0
279,211.0
280,178.0
281,180.0
282,211.0
283,185.0
284,193.0
285,193.0
286,185.0
287,183.0
288,203.0
289,201.0
290,188.0
291,185.0
292,180.0
293,201.0
294,201.0
295,190.0
296,196.0
297,188.0
298,178.0
299,188.0
300,178.0
301,196.0
302,185.0
303,201.0
304,203.0
305,193.0
306,196.0
307,190.0
308,188.0
309,190.0
310,188.0
311,201.0
312,190.0
313,183.0
314,188.0
315,185.0
316,193.0
317,206.0
318,201.0
319,183.0
320,188.0
321,190.0
322,193.0
323,190.0
324,196.0
325,203.0
326,198.0
327,190.0
328,211.0
329,203.0
330,188.0
331,180.0
332,196.0
333,188.0
334,201.0
335,188.0
336,198.0
337,206.0
338,188.0
339,198.0
340,211.0
341,211.0
342,196.0
343,196.0
344,190.0
345,196.0
346,193.0
347,198.0
348,190.0
349,185.0
350,198.0
351,193.0
352,180.0
353,196.0
354,201.0
355,190.0
356,190.0
357,193.0
358,190.0
359,185.0
360,188.0
361,190.0
362,193.0
363,196.0
364,196.0
365,198.0
366,188.0
367,206.0
368,198.0
369,188.0
370,188.0
371,193.0
372,190.0
373,190.0
374,190.0
375,196.0
376,203.0
377,198.0
378,193.0
379,206.0
380,190.0
381,196.0
382,190.0
383,188.0
384,206.0
385,201.0
386,193.0
387,183.0
388,185.0
389,196.0
390,188.0
391,201.0
392,196.0
393,201.0
394,196.0
395,213.0
396,190.0
397,193.0
398,190.0
399,190.0
400,198.0
401,190.0
402,198.0
403,190.0
404,203.0
405,196.0
406,183.0
407,193.0
408,188.0
409,188.0
410,201.0
411,196.0
412,190.0
413,206.0
414,190.0
415,201.0
416,198.0
417,198.0
418,190.0
419,203.0
420,198.0
421,203.0
422,190.0
423,201.0
424,188.0
425,193.0
426,193.0
427,201.0
428,198.0
429,203.0
430,208.0
431,183.0
432,190.0
433,185.0
434,198.0
435,198.0
436,198.0
437,185.0
438,208.0
439,203.0
440,190.0
441,196.0
442,201.0
443,196.0
444,193.0
445,198.0
446,185.0
447,188.0
448,193.0
449,190.0
450,193.0
451,193.0
452,203.0
453,193.0
454,203.0
455,188.0
456,188.0
457,188.0
458,196.0
459,193.0
460,201.0
461,198.0
462,203.0
463,193.0
464,188.0
465,196.0
466,198.0
467,193.0
468,198.0
469,201.0
470,203.0
471,206.0
472,196.0
473,203.0
474,201.0
475,198.0
476,188.0
477,198.0
478,190.0
479,196.0
480,196.0
